input|target|label|lang1|lang2|count
ban wang kruat|ban wang krot|TRUE|TH|TH|1
landar ta' geriska|mian kherreh|TRUE|MT|MT|1
hangilga|seong-gongsa|FALSE|KR|KR|1
da song|dasong|TRUE|CN|CN|1
agawhome|agave apedome|FALSE|GH|GH|1
galegong|ga lei gong|TRUE|CN|CN|1
ponoyskiya ludy|ostrova ponoyskiye ludy|TRUE|RU|RU|1
laken vlei|drie roode koppen|FALSE|ZA|ZA|1
sedir cayi|sarihuyuk|FALSE|TR|TR|1
seinajoki|synajwky|TRUE|FI|FI|1
tunechody|tinchau|TRUE|CZ|CZ|1
